GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
salon-management,com.salon.controller,SalonPolicyController,35,0,0,0,6,0,5,0,5,0
salon-management,com.salon.controller,CustomerDashboardController,12,0,0,0,2,0,2,0,2,0
salon-management,com.salon.controller,LoyaltyController,28,0,0,0,4,0,4,0,4,0
salon-management,com.salon.controller,ReviewResponseController,20,0,0,0,3,0,3,0,3,0
salon-management,com.salon.controller,AdminController,21,0,0,0,4,0,4,0,4,0
salon-management,com.salon.controller,SalonOwnerManagementController,13,0,0,0,2,0,2,0,2,0
salon-management,com.salon.controller,ReviewController,114,0,4,0,19,0,11,0,9,0
salon-management,com.salon.controller,UserManagementController,27,0,0,0,3,0,3,0,3,0
salon-management,com.salon.controller,PortfolioController,473,0,48,0,100,0,35,0,11,0
salon-management,com.salon.controller,OwnerReportController,12,0,0,0,2,0,2,0,2,0
salon-management,com.salon.controller,PayLaterController,88,0,6,0,16,0,8,0,5,0
salon-management,com.salon.controller,PolicyController,25,0,0,0,4,0,4,0,4,0
salon-management,com.salon.controller,NotificationController,35,0,0,0,7,0,5,0,5,0
salon-management,com.salon.controller,FileController,99,0,14,0,21,0,11,0,4,0
salon-management,com.salon.controller,PortfolioController.new TypeReference() {...},6,0,0,0,1,0,1,0,1,0
salon-management,com.salon.controller,ProfessionalAvailabilityController,547,0,60,0,116,0,50,0,20,0
salon-management,com.salon.controller,ProfessionalController,40,0,0,0,8,0,5,0,5,0
salon-management,com.salon.controller,ProfessionalAnalyticsController,12,0,0,0,2,0,2,0,2,0
salon-management,com.salon.controller,WalletController,98,0,8,0,19,0,9,0,5,0
salon-management,com.salon.controller,PaymentController,48,0,4,0,9,0,5,0,3,0
salon-management,com.salon.controller,BeautyProfileController,32,0,0,0,5,0,5,0,5,0
salon-management,com.salon.controller,CustomerNotificationController,36,0,0,0,7,0,5,0,5,0
salon-management,com.salon.controller,OwnerComplaintController,51,0,2,0,8,0,5,0,4,0
salon-management,com.salon.controller,PromotionController,31,0,2,0,6,0,4,0,3,0
salon-management,com.salon.controller,SalonOwnerController,308,0,18,0,58,0,23,0,14,0
salon-management,com.salon.controller,CustomerProductController,29,0,0,0,4,0,3,0,3,0
salon-management,com.salon.controller,CustomerLoyaltyController,33,0,0,0,5,0,4,0,4,0
salon-management,com.salon.controller,AuthController,46,0,0,0,7,0,7,0,7,0
salon-management,com.salon.controller,CustomerController,142,0,16,0,29,0,14,0,6,0
salon-management,com.salon.controller,ScheduleController,19,0,0,0,3,0,3,0,3,0
salon-management,com.salon.controller,ComplaintController,49,0,4,0,8,0,8,0,6,0
salon-management,com.salon.controller,ProfessionalNotificationController,35,0,0,0,7,0,5,0,5,0
salon-management,com.salon.controller,AdminNotificationController,18,0,0,0,4,0,3,0,3,0
salon-management,com.salon.controller,ProductController,318,0,28,0,59,0,32,0,18,0
salon-management,com.salon.controller,ServiceController,200,0,12,0,33,0,13,0,7,0
